Deployment_Type,Version_Control_Method,Model_Size_MB,Compression_Method,Performance_Score,Latency_ms
Cloud,Mercurial,71,Quantization,0.893326069,95
Cloud,Mercurial,15,Distillation,0.759613829,87
Edge,Git,36,Pruning,0.956040557,92
Edge,Git,48,Distillation,0.51458245,76
Edge,SVN,1,Pruning,0.788065918,65
Cloud,Git,84,Distillation,0.503402623,25
Cloud,Git,73,None,0.872804113,62
Edge,Mercurial,46,Quantization,0.919715854,82
Cloud,Mercurial,46,Pruning,0.188975745,58
Cloud,Git,77,None,0.782324735,79
Edge,SVN,41,Distillation,0.88584269,30
Cloud,SVN,60,None,0.033736755,91
Cloud,Git,68,Distillation,0.712436727,67
Edge,SVN,36,Distillation,0.508896487,9
Edge,SVN,74,Distillation,0.332813195,41
Edge,SVN,87,None,0.237481013,90
Edge,Git,64,Quantization,0.276954439,2
Edge,Git,75,Quantization,0.179873385,83
Edge,Git,52,Pruning,0.184979388,73
Cloud,Mercurial,13,None,0.54328476,72
Edge,SVN,41,None,0.19509996,40
Edge,Mercurial,89,None,0.284384556,70
Edge,SVN,44,Distillation,0.252576334,38
Edge,Git,75,Distillation,0.135455513,20
Edge,Git,54,Quantization,0.093065624,10
Edge,Mercurial,5,None,0.695386302,21
Cloud,Git,12,Distillation,0.277770732,63
Edge,Git,99,Distillation,0.300503605,24
Edge,SVN,63,Quantization,0.200677715,35
Edge,Git,79,Distillation,0.012794153,28
Cloud,Git,70,Pruning,0.846585256,18
Edge,SVN,46,Distillation,0.77992521,17
Edge,Git,20,None,0.306750225,75
Edge,Mercurial,54,Pruning,0.255965338,30
Cloud,Mercurial,29,Pruning,0.23512525,62
Edge,Git,66,Distillation,0.89279967,54
Cloud,Git,73,None,0.093681651,96
Cloud,Mercurial,78,None,0.23324226,36
Cloud,Mercurial,21,Pruning,0.167732058,69
Cloud,Git,37,Quantization,0.169445111,66
Cloud,Mercurial,52,Pruning,0.330057522,82
Cloud,Git,89,Quantization,0.837681007,76
Edge,SVN,66,None,0.291606866,98
Cloud,Mercurial,39,Quantization,0.232149316,58
Edge,SVN,31,Distillation,0.382191377,26
Cloud,SVN,50,None,0.918424475,21
Cloud,Git,96,None,0.998780825,20
Edge,SVN,80,None,0.465800857,42
Edge,Git,92,Pruning,0.043808092,82
Edge,Git,33,Distillation,0.866053783,6
Cloud,Git,73,None,0.298721844,15
Edge,Mercurial,29,None,0.682980568,17
Edge,Git,7,None,0.06626898,15
Cloud,SVN,2,Pruning,0.287681236,39
Edge,Mercurial,12,Quantization,0.532402195,34
Edge,Mercurial,29,Distillation,0.906858608,92
Edge,Git,49,Pruning,0.899067004,66
Cloud,Mercurial,97,None,0.550137302,33
Edge,Mercurial,49,None,0.256581198,21
Cloud,Git,31,Distillation,0.967608795,29
Edge,SVN,70,Quantization,0.657044413,38
Cloud,Git,48,Distillation,0.567504391,43
Edge,SVN,2,Quantization,0.315634573,90
Edge,Mercurial,93,Distillation,0.033024734,69
Edge,Mercurial,20,Quantization,0.97176428,34
Cloud,Git,84,Pruning,0.452688272,68
Cloud,Git,58,Distillation,0.834161312,97
Cloud,Git,63,None,0.280007535,10
Edge,SVN,50,Pruning,0.571481734,16
Cloud,SVN,85,None,0.315392035,92
Edge,Mercurial,28,Quantization,0.586514721,46
Edge,Mercurial,36,Quantization,0.208853333,16
Edge,Git,24,Distillation,0.051311198,26
Edge,SVN,2,Quantization,0.405502205,78
Edge,SVN,34,Distillation,0.849284938,42
Edge,Git,29,None,0.151630468,36
Edge,Mercurial,50,Distillation,0.420460252,57
Cloud,Git,79,Pruning,0.914183673,47
Edge,Git,10,Distillation,0.848265057,93
Cloud,Git,78,None,0.447112821,9
Edge,Mercurial,64,Pruning,0.494284166,57
Cloud,Git,11,Quantization,0.915376717,74
Cloud,SVN,18,Distillation,0.411905495,90
Cloud,SVN,42,None,0.952869857,85
Cloud,Git,21,None,0.650238894,53
Edge,SVN,62,None,0.567986028,16
Edge,SVN,93,Quantization,0.398893316,59
Edge,SVN,95,None,0.485836349,55
Edge,Git,51,Quantization,0.017838509,7
Edge,Git,81,Quantization,0.164600833,52
Cloud,Git,32,Distillation,0.251589758,29
Cloud,SVN,74,Pruning,0.652468721,43
Cloud,Git,4,Quantization,0.085864834,57
Edge,Git,52,Quantization,0.160604517,82
Cloud,Mercurial,79,Pruning,0.073973915,23
Cloud,Git,57,Distillation,0.911666084,87
Cloud,SVN,83,Quantization,0.939776657,96
Edge,Git,65,Distillation,0.240001573,82
Cloud,Git,85,Quantization,0.879186748,42
Cloud,Git,82,None,0.310085097,24
Edge,Git,25,None,0.824533307,67
Edge,SVN,61,Distillation,0.021384452,80
Cloud,Git,73,None,0.603430351,10
Cloud,Mercurial,8,Pruning,0.089218085,43
Cloud,Mercurial,85,Quantization,0.704808884,82
Edge,SVN,35,None,0.90132952,79
Cloud,Git,24,None,0.435015531,32
Edge,Git,10,Distillation,0.90905683,75
Cloud,Git,76,Distillation,0.66640712,19
Edge,SVN,49,Pruning,0.809895879,39
Edge,Git,89,Distillation,0.046293714,58
Edge,Git,39,None,0.511151699,1
Edge,SVN,16,Quantization,0.157723034,18
Cloud,Mercurial,15,Distillation,0.525232859,33
Edge,Mercurial,71,Pruning,0.008633763,38
Edge,SVN,75,Distillation,0.042959813,6
Edge,Git,61,None,0.997155669,17
Edge,Git,99,Distillation,0.164611957,34
Edge,Git,20,Distillation,0.197054065,76
Edge,SVN,56,Distillation,0.814376167,40
Cloud,Git,14,None,0.085178623,83
Cloud,Git,81,None,0.146713992,42
Edge,Mercurial,87,Distillation,0.207209148,89
Cloud,SVN,11,Pruning,0.842170981,80
Edge,SVN,39,Quantization,0.30341688,81
Edge,Mercurial,59,Quantization,0.044875016,78
Edge,Mercurial,58,Distillation,0.668487059,31
Cloud,Git,97,Pruning,0.369301921,75
Cloud,SVN,3,Pruning,0.252098308,90
Cloud,SVN,16,Distillation,0.112841639,87
Cloud,SVN,28,Pruning,0.002790149,66
Edge,Mercurial,95,Pruning,0.032564787,85
Cloud,Git,95,None,0.570223307,79
Cloud,Mercurial,67,Quantization,0.913806491,60
Edge,Mercurial,75,None,0.181212987,48
Cloud,Mercurial,92,Quantization,0.2282724,83
Edge,SVN,40,Quantization,0.759560327,14
Edge,Git,14,None,0.342980146,70
Edge,SVN,21,Distillation,0.74794372,93
Cloud,Mercurial,8,Distillation,0.156016407,70
Cloud,Mercurial,5,None,0.967141144,99
Cloud,SVN,76,None,0.33831636,60
Cloud,Mercurial,14,Distillation,0.585892948,95
Edge,Mercurial,7,Quantization,0.08677459,73
Cloud,Mercurial,50,Pruning,0.988374274,74
Edge,Git,76,None,0.915713335,72
Cloud,Mercurial,77,Pruning,0.158490524,69
Cloud,Mercurial,89,Pruning,0.375090491,78
Cloud,Mercurial,43,Distillation,0.609083743,80
Edge,Mercurial,16,Quantization,0.03684701,59
Cloud,SVN,43,None,0.429164698,19
Cloud,Git,42,Quantization,0.418801037,64
Cloud,SVN,87,Pruning,0.257129449,88
Edge,SVN,58,Quantization,0.202256053,9
Edge,Git,24,Distillation,0.295247177,45
Cloud,Mercurial,28,Pruning,0.851926867,92
Cloud,Mercurial,61,Pruning,0.151780823,1
Cloud,Git,62,None,0.208215684,20
Cloud,Git,4,None,0.699687264,33
Edge,Mercurial,22,Distillation,0.667465812,41
Edge,SVN,25,Pruning,0.718815211,21
Edge,SVN,24,Distillation,0.868341406,17
Edge,Mercurial,40,Distillation,0.216078447,55
Cloud,Mercurial,13,Distillation,0.902578282,25
Cloud,Git,52,None,0.99068685,22
Edge,Git,60,Quantization,0.754937907,58
Edge,Mercurial,50,Distillation,0.379978042,76
Edge,SVN,30,None,0.791433731,65
Cloud,SVN,52,None,0.288612883,1
Cloud,SVN,41,Distillation,0.997091583,33
Edge,Mercurial,15,Pruning,0.350887555,53
Edge,SVN,38,Quantization,0.595269378,29
Cloud,Mercurial,60,Quantization,0.021353964,32
Cloud,Git,61,Quantization,0.385726061,55
Cloud,SVN,83,None,0.276611512,7
Cloud,Mercurial,1,Distillation,0.752050604,16
Edge,Git,91,Pruning,0.488805259,51
Cloud,SVN,71,None,0.26823771,2
Cloud,SVN,56,Distillation,0.851942076,77
Cloud,SVN,63,Pruning,0.768271349,16
Edge,Git,44,Pruning,0.635336713,59
Cloud,Mercurial,65,Pruning,0.830729559,98
Cloud,Mercurial,30,Distillation,0.449010017,85
Edge,Mercurial,75,Pruning,0.623058315,86
Edge,SVN,29,Quantization,0.930744038,99
Edge,Mercurial,27,Distillation,0.095600213,71
Cloud,SVN,34,Distillation,0.515334367,31
Cloud,Mercurial,54,Pruning,0.465409795,13
Edge,Git,62,Quantization,0.341720828,6
Cloud,Mercurial,62,Pruning,0.342826281,54
Cloud,Git,65,None,0.799948615,81
Cloud,Mercurial,76,None,0.348467893,72
Cloud,Git,37,Distillation,0.990595667,44
Edge,SVN,96,None,0.210479777,32
Cloud,Git,31,Distillation,0.274097812,30
Edge,Git,79,None,0.646997534,42
Cloud,SVN,58,Quantization,0.328718244,33
Edge,Git,15,Distillation,0.812307852,28
Cloud,SVN,66,Quantization,0.340917751,73
Cloud,Git,12,Pruning,0.215044747,14
Cloud,SVN,80,None,0.907330355,29
Edge,Mercurial,10,Distillation,0.014880277,26
Cloud,Git,56,Quantization,0.512367545,52
Edge,SVN,61,None,0.664399824,71
Edge,Mercurial,6,Distillation,0.627801739,4
Edge,Git,72,Distillation,0.039589975,33
Edge,Git,66,None,0.058531319,23
Cloud,Git,69,Pruning,0.742359751,41
Edge,Mercurial,1,Quantization,0.154853412,21
Edge,Mercurial,45,Quantization,0.900047673,47
Edge,SVN,28,Pruning,0.269892757,6
Edge,Mercurial,15,None,0.160923336,53
Cloud,Mercurial,86,Distillation,0.629693854,58
Cloud,Git,6,Pruning,0.045506578,65
Cloud,SVN,43,None,0.971820911,58
Cloud,Git,59,Pruning,0.715852184,20
Edge,Git,6,Distillation,0.691444978,73
Cloud,Mercurial,86,Quantization,0.086929188,86
Edge,SVN,49,Pruning,0.651955609,19
Cloud,SVN,86,Pruning,0.335332959,38
Edge,Mercurial,23,None,0.711746251,87
Cloud,Mercurial,56,Distillation,0.361639573,8
Edge,SVN,30,Pruning,0.963467954,38
Edge,SVN,28,Distillation,0.834858526,93
Edge,Mercurial,9,None,0.41452504,76
Edge,Git,48,Quantization,0.09172345,69
Edge,SVN,83,Distillation,0.653420297,4
Edge,Git,36,Distillation,0.763079573,90
Edge,Git,93,Distillation,0.742960059,77
Cloud,Mercurial,56,Quantization,0.617254509,82
Cloud,Mercurial,87,Distillation,0.397911026,87
Cloud,SVN,69,Pruning,0.585170856,88
Edge,Mercurial,44,Distillation,0.436594605,1
Edge,SVN,5,Quantization,0.904714326,18
Edge,SVN,99,Pruning,0.782120639,63
Edge,Mercurial,1,Pruning,0.202616508,15
Edge,Git,84,Pruning,0.754766422,74
Cloud,SVN,13,Quantization,0.612466874,40
Cloud,Mercurial,1,Pruning,0.785905982,33
Cloud,SVN,44,Quantization,0.53953777,59
Edge,Mercurial,21,Distillation,0.564707845,4
Cloud,SVN,73,Pruning,0.141907935,58
Edge,Git,94,Quantization,0.712812419,92
Cloud,SVN,66,Distillation,0.113001209,2
Edge,Mercurial,54,Distillation,0.634324321,49
Cloud,Mercurial,19,Quantization,0.339029336,50
Cloud,SVN,23,Distillation,0.976683374,34
Edge,SVN,77,None,0.626293573,12
Cloud,SVN,69,None,0.040152781,84
Edge,Git,12,Quantization,0.649427159,56
Cloud,SVN,4,Distillation,0.313503083,25
Edge,SVN,50,Distillation,0.306085418,6
Edge,Mercurial,25,Quantization,0.319220635,30
Cloud,Mercurial,9,Distillation,0.996022684,35
Cloud,Git,6,Distillation,0.615065864,37
Cloud,Git,14,Pruning,0.704015119,71
Cloud,Git,79,None,0.337098894,24
Edge,SVN,65,Quantization,0.504441353,67
Edge,SVN,62,Pruning,0.888171232,87
Cloud,Mercurial,67,None,0.762243093,44
Edge,Mercurial,30,None,0.179668487,78
Cloud,Git,67,Quantization,0.392707957,88
Cloud,SVN,1,Quantization,0.145712922,75
Cloud,SVN,33,Quantization,0.348965253,20
Cloud,SVN,67,Distillation,0.429721495,34
Edge,Git,40,Distillation,0.775843664,50
Cloud,Git,17,Pruning,0.878903043,74
Cloud,SVN,47,Quantization,0.614253786,34
Cloud,SVN,13,Quantization,0.682324256,36
Edge,Mercurial,72,Distillation,0.207920621,64
Edge,SVN,87,Pruning,0.720691202,48
Cloud,SVN,68,Quantization,0.819495675,91
Edge,SVN,92,Quantization,0.39955273,99
Edge,SVN,24,Distillation,0.898499213,5
Cloud,Mercurial,48,Pruning,0.972472384,23
Edge,SVN,98,Distillation,0.259269001,59
Cloud,Mercurial,99,Distillation,0.747143175,31
Edge,SVN,28,Pruning,0.319879397,73
Edge,SVN,92,Pruning,0.36499828,94
Edge,Git,33,Quantization,0.606482091,30
Edge,Mercurial,19,None,0.859361713,31
Cloud,Mercurial,66,Distillation,0.4207811,85
Edge,Git,39,None,0.923622837,50
Cloud,Mercurial,57,Quantization,0.136489452,76
Edge,Git,42,Quantization,0.67844139,60
Edge,SVN,89,Distillation,0.913186329,23
Edge,SVN,91,Quantization,0.109217103,65
Cloud,Mercurial,12,None,0.32252686,10
Edge,SVN,74,Pruning,0.417045728,75
Cloud,Git,18,None,0.660537328,90
Edge,Git,78,Distillation,0.554522696,91
Edge,SVN,94,Pruning,0.731025055,31
Edge,Git,86,None,0.49481228,19
Cloud,Mercurial,63,Pruning,0.673547147,47
Edge,Mercurial,94,Pruning,0.392670153,10
Cloud,Mercurial,47,Distillation,0.267622533,70
Edge,SVN,70,Pruning,0.524068709,52
Edge,SVN,24,Quantization,0.946298188,91
Edge,Git,27,Pruning,0.491377487,99
Cloud,Mercurial,94,None,0.870230446,2
Edge,Mercurial,72,Distillation,0.097996871,44
Edge,Git,5,Quantization,0.413590143,4
Edge,Mercurial,22,Quantization,0.649222328,30
Edge,Git,4,Pruning,0.026779891,66
Edge,Git,50,None,0.840109266,19
Cloud,Git,58,Quantization,0.8326731,70
Cloud,Git,84,Pruning,0.35779939,47
Cloud,Git,19,None,0.975680179,82
Cloud,Mercurial,37,Quantization,0.231402848,19
Cloud,Mercurial,67,Quantization,0.385782606,34
Edge,SVN,30,Distillation,0.188530929,2
Edge,Git,19,Pruning,0.811854476,90
Edge,Mercurial,26,Pruning,0.405122055,73
Cloud,Git,15,Quantization,0.524297132,82
Cloud,SVN,24,Quantization,0.788271586,91
Cloud,Git,96,Pruning,0.715678214,30
Cloud,Mercurial,39,None,0.795766734,51
Edge,SVN,89,Quantization,0.392607594,60
Edge,Git,44,None,0.195326169,69
Cloud,Mercurial,55,Distillation,0.01541265,15
Cloud,SVN,80,None,0.564791491,25
Edge,SVN,15,Pruning,0.303404958,40
Edge,Mercurial,25,Quantization,0.312551408,3
Edge,Git,79,Pruning,0.591092805,1
Cloud,Git,17,Quantization,0.818611543,14
Edge,Git,51,Distillation,0.997446841,98
Cloud,SVN,98,Quantization,0.200206167,64
Cloud,Mercurial,54,Pruning,0.738740233,66
Cloud,Mercurial,34,Pruning,0.165759789,97
Edge,SVN,95,Quantization,0.920287315,29
Edge,SVN,10,Quantization,0.351010936,71
Cloud,SVN,88,Quantization,0.487277647,67
Cloud,SVN,42,Pruning,0.769850117,29
Edge,Mercurial,23,Pruning,0.491922056,95
Edge,Mercurial,34,Pruning,0.030792673,71
Cloud,SVN,48,Pruning,0.323168644,33
Cloud,Mercurial,34,Distillation,0.733049126,62
Cloud,Git,67,Pruning,0.699629423,81
Cloud,Mercurial,85,None,0.499715551,77
Cloud,SVN,68,Pruning,0.431687402,99
Cloud,Git,48,Pruning,0.959505814,11
Edge,SVN,34,Distillation,0.662085535,58
Cloud,Mercurial,28,Quantization,0.715936577,75
Cloud,Git,69,Pruning,0.215608304,29
Edge,SVN,10,Quantization,0.801299539,83
Edge,SVN,52,Pruning,0.742054695,45
Cloud,SVN,8,Quantization,0.199881309,63
Cloud,Mercurial,1,Distillation,0.620227188,72
Cloud,Git,64,Quantization,0.741886527,11
Cloud,Git,88,None,0.534385788,35
Cloud,Mercurial,75,Quantization,0.591068622,43
Cloud,Git,56,Pruning,0.644858913,67
Cloud,SVN,75,Pruning,0.41036891,45
Cloud,Git,39,Pruning,0.509857655,79
Edge,SVN,31,Quantization,0.916470271,26
Cloud,Git,59,None,0.213040114,38
Cloud,Git,16,Pruning,0.543044698,60
Edge,Git,82,Distillation,0.910251834,98
Cloud,Mercurial,84,Quantization,0.111062524,19
Edge,Git,56,Distillation,0.139078519,55
Edge,SVN,61,Quantization,0.957450149,62
Cloud,Mercurial,95,Distillation,0.574324498,67
Cloud,SVN,77,Distillation,0.451993621,45
Edge,Git,63,Quantization,0.935512872,25
Edge,SVN,42,Pruning,0.387312561,6
Cloud,Git,13,Distillation,0.433838946,99
Edge,SVN,16,Distillation,0.494202923,31
Edge,Mercurial,84,Quantization,0.926361754,46
Cloud,Mercurial,20,Distillation,0.806968285,50
Cloud,Mercurial,91,None,0.181724622,25
Edge,Mercurial,27,Pruning,0.933221897,51
Edge,Git,80,None,0.993266344,2
Cloud,Git,50,None,0.619704299,54
Cloud,Mercurial,76,None,0.075245498,79
Cloud,Git,15,Distillation,0.18962412,93
Cloud,Mercurial,27,None,0.448314725,54
Edge,Git,51,None,0.541946504,38
Cloud,Git,75,Quantization,0.935845986,35
Edge,Git,56,None,0.043462485,63
Edge,Mercurial,89,None,0.766464206,91
Cloud,Git,15,Quantization,0.708626179,50
Cloud,Mercurial,49,None,0.645617973,20
Cloud,SVN,51,Distillation,0.635617486,5
Edge,Git,78,Pruning,0.301860813,78
Edge,Mercurial,32,None,0.280153096,34
Edge,SVN,68,Quantization,0.560853849,72
Edge,SVN,85,Pruning,0.992083226,15
Cloud,Git,2,Distillation,0.351016581,67
Cloud,Git,3,Pruning,0.074129434,88
Cloud,SVN,81,None,0.819467295,64
Cloud,Git,53,None,0.180798162,30
Cloud,SVN,99,Pruning,0.002073707,16
Edge,Mercurial,78,Distillation,0.926328281,88
Cloud,Mercurial,79,Distillation,0.971098697,27
Edge,Git,73,Pruning,0.794343942,97
Edge,SVN,33,Quantization,0.600185255,36
Edge,Mercurial,91,Distillation,0.267903904,26
Cloud,Mercurial,25,Distillation,0.202347001,58
Edge,Git,87,None,0.573403129,9
Cloud,SVN,35,Distillation,0.712462078,13
Edge,SVN,29,None,0.692448347,73
Cloud,Mercurial,42,Pruning,0.25361381,2
Edge,SVN,51,None,0.732901016,48
Edge,SVN,29,Quantization,0.549685256,85
Edge,Git,10,Quantization,0.80358194,31
Cloud,SVN,26,Pruning,0.519310179,53
Edge,Git,61,Quantization,0.855861038,40
Cloud,Git,32,Distillation,0.065362296,10
Cloud,Git,64,Distillation,0.66236207,38
Edge,Mercurial,63,Distillation,0.520715016,66
Edge,Mercurial,46,None,0.118917174,31
Cloud,SVN,9,None,0.953844582,60
Cloud,Git,75,Quantization,0.011535013,73
Cloud,Mercurial,3,Distillation,0.430035422,33
Edge,Mercurial,57,Quantization,0.603526015,82
Edge,SVN,90,Quantization,0.450872777,5
Edge,Mercurial,86,Quantization,0.689841181,88
Cloud,SVN,96,None,0.021970092,35
Edge,SVN,48,None,0.837475343,85
Cloud,Git,28,Distillation,0.369374678,95
Cloud,SVN,58,Quantization,0.398818941,79
Edge,Mercurial,77,Distillation,0.747126599,13
Edge,Mercurial,55,Distillation,0.404513424,14
Cloud,SVN,55,Distillation,0.975552094,24
Edge,SVN,5,None,0.337526524,85
Edge,SVN,95,Quantization,0.260305332,7
Edge,Mercurial,61,Distillation,0.16917484,30
Edge,Mercurial,27,None,0.302800252,18
Cloud,SVN,28,Pruning,0.633180801,44
Cloud,Mercurial,10,Quantization,0.329938836,30
Cloud,Git,83,Pruning,0.197750634,74
Cloud,Mercurial,6,Distillation,0.106891348,54
Cloud,Git,40,Quantization,0.697538907,83
Cloud,Git,16,None,0.785333156,19
Edge,Mercurial,14,Pruning,0.421664187,34
Edge,Mercurial,22,Distillation,0.77409672,27
Cloud,Mercurial,95,Pruning,0.199202329,78
Edge,Mercurial,57,Pruning,0.27936003,84
Cloud,Mercurial,86,Distillation,0.922269591,20
Cloud,Mercurial,75,Distillation,0.281308361,24
Edge,Git,3,Quantization,0.839233835,28
Edge,Git,77,Distillation,0.728509638,49
Edge,Git,35,None,0.626547905,3
Edge,SVN,35,Quantization,0.944494244,63
Edge,Mercurial,17,Quantization,0.764413484,80
Cloud,Mercurial,61,Distillation,0.667998573,13
Cloud,Mercurial,59,Distillation,0.958386116,37
Edge,Mercurial,30,None,0.890491189,32
Cloud,Git,53,Distillation,0.698822771,78
Cloud,Git,19,Pruning,0.731816695,94
Cloud,Mercurial,65,None,0.898739389,49
Edge,Git,27,None,0.691257353,28
Cloud,Git,81,Quantization,0.740538115,53
Cloud,Git,54,Quantization,0.434211657,48
Cloud,Mercurial,88,Quantization,0.319431432,55
Cloud,Git,31,None,0.566040242,85
Cloud,Git,44,Distillation,0.58351716,7
Cloud,Git,17,Pruning,0.253392179,51
Cloud,Git,44,Quantization,0.110918901,6
Cloud,Git,5,None,0.294919886,63
Cloud,SVN,74,None,0.314902317,18
Edge,SVN,48,Distillation,0.103789124,48
Cloud,SVN,24,Quantization,0.415790535,29
Cloud,SVN,35,Pruning,0.982430498,5
Cloud,SVN,23,Distillation,0.238885,74
Cloud,Mercurial,26,None,0.822225829,65
Cloud,SVN,53,Quantization,0.819827523,18
Edge,Git,84,None,0.917854431,62
Cloud,Git,1,Pruning,0.976306933,12
Cloud,Git,8,Quantization,0.781294661,46
Edge,Mercurial,59,Pruning,0.977652967,97
Edge,Git,47,Pruning,0.288921111,50
Edge,Git,80,Distillation,0.858808613,98
Cloud,SVN,7,Pruning,0.828495527,6
Edge,SVN,28,Quantization,0.757502188,28
Cloud,Git,91,None,0.460325101,21
Cloud,Mercurial,98,Distillation,0.529141569,25
Cloud,Git,60,None,0.447972454,96
Edge,Mercurial,23,Quantization,0.89016218,67
Cloud,Mercurial,11,Distillation,0.115975707,30
Edge,Git,79,None,0.376326859,3
Edge,Mercurial,11,Quantization,0.687759436,31
Cloud,SVN,33,Pruning,0.167184304,45
Cloud,Mercurial,8,Distillation,0.598369186,45
Edge,SVN,8,None,0.684763899,85
Cloud,SVN,9,Distillation,0.444363313,19
Cloud,Git,64,Pruning,0.433406242,41
Edge,Git,24,Distillation,0.948832604,33
Edge,Git,48,Quantization,0.184741337,53
Edge,Git,42,Distillation,0.781214002,96
Edge,Mercurial,16,Distillation,0.219275359,31
Edge,Mercurial,31,Quantization,0.900625954,12
Cloud,Git,95,None,0.258847319,30
Cloud,Git,60,Distillation,0.627801475,39
Cloud,SVN,92,None,0.70774561,79
Cloud,Mercurial,91,None,0.037252431,29
Cloud,Mercurial,26,None,0.688774031,20
Edge,SVN,7,Quantization,0.309017395,48
Cloud,Mercurial,50,Pruning,0.194087594,55
Edge,Git,3,Pruning,0.950406246,62
Cloud,SVN,72,Quantization,0.74886473,60
Edge,Mercurial,55,Quantization,0.526276151,80
Cloud,SVN,22,Quantization,0.108774618,3
Cloud,Git,14,Pruning,0.252152587,60
Cloud,Mercurial,84,Quantization,0.127301913,36
Edge,Git,80,Distillation,0.859819726,76
Cloud,SVN,22,Distillation,0.361898321,32
Cloud,Mercurial,70,Distillation,0.614863489,77
Edge,Mercurial,68,Distillation,0.463011581,54
Edge,Git,70,None,0.055127252,87
Edge,Mercurial,58,Quantization,0.868806846,15
Cloud,SVN,68,Pruning,0.195580863,99
Cloud,SVN,26,Pruning,0.06850747,95
Edge,Mercurial,65,Distillation,0.694080755,18
Cloud,SVN,25,Quantization,0.777675048,95
Cloud,Git,59,Pruning,0.780758111,23
Cloud,Mercurial,22,None,0.02945797,98
Edge,Mercurial,94,Pruning,0.36808066,44
Cloud,SVN,66,Pruning,0.539447004,29
Edge,Mercurial,77,Pruning,0.877634418,46
Edge,SVN,38,None,0.533400847,91
Cloud,Mercurial,48,None,0.368364806,22
Edge,Git,43,None,0.006639032,93
Cloud,SVN,39,None,0.76253761,99
Cloud,Mercurial,35,Quantization,0.25475369,32
Cloud,SVN,13,Pruning,0.714878102,53
Edge,SVN,99,Pruning,0.288580732,66
Edge,SVN,1,Distillation,0.036879433,8
Cloud,SVN,23,Pruning,0.141104583,39
Cloud,Git,15,Quantization,0.596717717,16
Cloud,Mercurial,24,Quantization,0.987444083,51
Cloud,Git,46,Quantization,0.344814085,36
Edge,Git,96,None,0.607529129,32
Edge,SVN,66,Quantization,0.041452687,1
Cloud,Git,44,Quantization,0.866278126,18
Cloud,SVN,27,Pruning,0.87571293,25
Edge,Mercurial,74,Distillation,0.73261154,61
Edge,SVN,41,Distillation,0.590293742,24
Edge,Mercurial,24,Distillation,0.632947514,56
Cloud,Git,37,Distillation,0.820915236,26
Edge,Mercurial,5,Distillation,0.231465451,96
Cloud,SVN,49,Distillation,0.239189031,93
Edge,Git,69,Distillation,0.953965215,52
Cloud,SVN,7,Pruning,0.479864945,34
Cloud,SVN,76,Distillation,0.873909861,74
Edge,Mercurial,41,None,0.949951587,86
Cloud,SVN,2,Distillation,0.013904476,1
Edge,SVN,93,Distillation,0.528846085,61
Cloud,Git,53,Quantization,0.752156454,27
Cloud,Git,17,Quantization,0.880641862,39
Edge,Git,16,Quantization,0.424255819,21
Edge,Git,75,Pruning,0.454246119,21
Edge,SVN,60,Quantization,0.99867925,75
Edge,SVN,75,None,0.230957003,20
Edge,Mercurial,93,Distillation,0.37929756,44
Edge,Git,50,Pruning,0.297677059,85
Edge,Git,18,None,0.953320691,21
Cloud,Mercurial,10,Distillation,0.373789806,29
Cloud,Git,47,None,0.779578864,1
Edge,SVN,30,Pruning,0.630706333,44
Cloud,SVN,6,None,0.685806401,28
Cloud,Git,24,None,0.67592457,46
Edge,Git,66,Pruning,0.068099379,83
Edge,SVN,76,Quantization,0.389207936,71
Edge,Git,29,Distillation,0.717888042,31
Edge,Git,95,Distillation,0.203112649,63
Edge,Mercurial,96,None,0.062902724,97
Cloud,Mercurial,23,Distillation,0.84823983,72
Edge,Git,41,Quantization,0.289750499,19
Edge,Mercurial,15,None,0.605697039,37
Edge,SVN,95,Pruning,0.349906884,78
Cloud,SVN,32,None,0.38146705,19
Cloud,Git,84,Quantization,0.925593923,11
Cloud,Git,95,Quantization,0.821377117,20
Edge,SVN,86,Pruning,0.176597734,74
Edge,SVN,82,Quantization,0.419316798,8
Cloud,SVN,4,Pruning,0.167824404,36
Edge,Git,47,Pruning,0.770240791,69
Edge,Mercurial,47,Distillation,0.901137631,73
Cloud,SVN,22,Distillation,0.156535594,47
Cloud,Mercurial,6,Distillation,0.392346369,33
Edge,Git,39,Distillation,0.063194772,15
Edge,Git,36,Quantization,0.882552354,95
Cloud,Mercurial,53,Distillation,0.503506773,91
Edge,Mercurial,59,Distillation,0.831415459,83
Edge,Git,72,Pruning,0.442358853,6
Edge,Git,79,Quantization,0.179816345,99
Cloud,SVN,95,Quantization,0.070561853,45
Cloud,SVN,92,None,0.206885256,79
Cloud,Mercurial,72,Distillation,0.181932742,52
Cloud,SVN,32,Quantization,0.36912844,19
Cloud,Mercurial,7,Quantization,0.904066281,61
Cloud,Mercurial,64,Distillation,0.315766026,71
Cloud,Git,92,Quantization,0.441851025,53
Edge,Mercurial,9,Pruning,0.998554667,68
Edge,SVN,62,Pruning,0.582550841,50
Edge,SVN,93,None,0.864130448,47
Cloud,SVN,36,Distillation,0.817301867,46
Edge,SVN,64,Quantization,0.934550148,12
Cloud,Git,57,Pruning,0.709501279,12
Cloud,Mercurial,56,Distillation,0.083164892,81
Edge,Mercurial,10,Pruning,0.329024555,78
Edge,Git,45,None,0.344225575,70
Cloud,SVN,61,Distillation,0.883736611,33
